gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description	phrog	category
GU988610.2_1	344	997	654	1	0.497	11	AGGAG	GENOMAD.136148.VP	6.06e-19	88	0	0	0	1246	Caudoviricetes	NA	NA	PHROG953	HNH endonuclease	953	DNA, RNA and nucleotide metabolism
GU988610.2_2	1517	1675	159	1	0.491	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG8631	hypothetical protein	8631	unknown function
GU988610.2_3	1730	1996	267	-1	0.442	11	GGAGG	GENOMAD.183698.VV	0.0006586	39	0	0	0	4653	Litunavirus	NA	NA	PHROG7340	hypothetical protein	7340	unknown function
GU988610.2_4	1996	2400	405	-1	0.516	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG7262	hypothetical protein	7262	unknown function
GU988610.2_5	2390	2806	417	-1	0.453	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG6773	hypothetical protein	6773	unknown function
GU988610.2_6	2829	3530	702	-1	0.496	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG7453	hypothetical protein	7453	unknown function
GU988610.2_7	3799	4110	312	-1	0.458	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG7430	hypothetical protein	7430	unknown function
GU988610.2_8	4110	4472	363	-1	0.499	11	AGGAGG	GENOMAD.141098.VV	4.314e-37	136	0	0	0	1246	Caudoviricetes	NA	NA	PHROG2614	hypothetical protein	2614	unknown function
GU988610.2_9	4528	4743	216	-1	0.472	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG7178	hypothetical protein	7178	unknown function
GU988610.2_10	4740	5081	342	-1	0.506	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG6967	hypothetical protein	6967	unknown function
GU988610.2_11	5083	5586	504	-1	0.498	11	GGA/GAG/AGG	GENOMAD.106737.VV	2.215e-91	295	0	0	0	8016	Pakpunavirus	NA	NA	PHROG3360	hypothetical protein	3360	unknown function
