gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description	phrog	category
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_1	1	150	150	1	0.220	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_2	107	1309	1203	1	0.249	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG1	integrase	1	integration and excision
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_3	1306	1476	171	-1	0.257	11	AGGAG	GENOMAD.226577.VP	5.67e-07	46	0	0	0	1	NA	NA	NA	PF06806;COG3311;TIGR01764	Predicted DNA-binding transcriptional regulator AlpA	66	integration and excision
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_4	1469	2011	543	-1	0.260	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG923	hypothetical protein	923	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_5	2158	2805	648	-1	0.245	11	AGGA	GENOMAD.095403.VV	1.639e-48	174	0	0	0	8574	Fletchervirus	NA	NA	PHROG7258	hypothetical protein	7258	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_6	2811	3161	351	-1	0.254	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_7	3158	3430	273	-1	0.256	11	AGGAG	GENOMAD.206146.VP	1.201e-13	67	0	0	0	1246	Caudoviricetes	NA	NA	PF01258	Prokaryotic dksA/traR C4-type zinc finger	22392	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_8	3435	3854	420	-1	0.243	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG98	hypothetical protein	98	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_9	3835	4113	279	-1	0.262	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_10	4094	4789	696	-1	0.266	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
