gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description	phrog	category
Arthrobacter_phage_Constance_1	52	648	597	1	0.647	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG83	terminase small subunit	83	head and packaging
Arthrobacter_phage_Constance_2	626	2374	1749	1	0.659	11	AGGA	GENOMAD.127066.VP	5.688e-185	588	0	0	1	1246	Caudoviricetes	NA	NA	PF03354;COG4626	Phage terminase-like protein, large subunit, contains N-terminal HTH domain	2699	head and packaging
Arthrobacter_phage_Constance_3	2384	3745	1362	1	0.645	11	GGA/GAG/AGG	GENOMAD.058382.VV	1.134e-87	299	0	0	1	7192	Cheoctovirus	NA	NA	TIGR01538	portal protein	104	head and packaging
Arthrobacter_phage_Constance_4	3745	4986	1242	1	0.676	11	AGGAG	GENOMAD.048768.VV	1.259e-175	552	0	0	1	1246	Caudoviricetes	NA	NA	PF04233;TIGR01641	Phage Mu protein F like protein	1522	head and packaging
Arthrobacter_phage_Constance_5	5077	5574	498	1	0.639	11	AGGA	GENOMAD.090512.VV	4.13e-12	66	0	0	0	1246	Caudoviricetes	NA	NA	PF14265	head scaffolding protein	4638	head and packaging
Arthrobacter_phage_Constance_6	5596	6579	984	1	0.664	11	None	GENOMAD.047188.VV	5.065e-170	531	0	0	1	1246	Caudoviricetes	NA	NA	PF05065;TIGR01554;COG4653	phage major capsid protein, HK97 family	10	head and packaging
Arthrobacter_phage_Constance_7	6590	6970	381	1	0.717	11	AGGAG	GENOMAD.139922.VV	1.196e-69	230	0	0	0	10119	Bridgettevirus bridgette	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
Arthrobacter_phage_Constance_8	7030	7215	186	1	0.613	11	AGGA	GENOMAD.119953.VV	5.229e-31	115	0	0	0	11243	Bridgettevirus	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
Arthrobacter_phage_Constance_9	7215	7805	591	1	0.677	11	GGA/GAG/AGG	GENOMAD.113156.VV	1.039e-35	136	0	0	1	1246	Caudoviricetes	NA	NA	PF09355;TIGR02215	Phage protein Gp19/Gp15/Gp42	442	connector
Arthrobacter_phage_Constance_10	7802	8200	399	1	0.639	11	4Base/6BMM	GENOMAD.047517.VV	1.907e-59	201	0	0	0	1246	Caudoviricetes	NA	NA	PF19586	hypothetical protein	13779	unknown function
Arthrobacter_phage_Constance_11	8197	8580	384	1	0.630	11	AGGAG	GENOMAD.065013.VV	1.406e-76	250	0	0	1	1246	Caudoviricetes	NA	NA	TIGR01725	phage protein, HK97 gp10 family	19109	unknown function
Arthrobacter_phage_Constance_12	8577	8990	414	1	0.623	11	GGA/GAG/AGG	GENOMAD.149680.VV	4.25e-86	278	0	0	0	1246	Caudoviricetes	NA	NA	PHROG29048	hypothetical protein	29048	unknown function
Arthrobacter_phage_Constance_13	9037	9222	186	1	0.554	11	AGGAG	GENOMAD.157074.VV	3.074e-36	130	0	0	0	1246	Caudoviricetes	NA	NA	PHROG29338	hypothetical protein	29338	unknown function
Arthrobacter_phage_Constance_14	9215	9730	516	1	0.638	11	GGAG/GAGG	GENOMAD.054683.VV	7.74e-28	112	0	0	0	1246	Caudoviricetes	NA	NA	PHROG2491	major tail protein	2491	tail
Arthrobacter_phage_Constance_15	9820	10356	537	1	0.616	11	AGGAG	GENOMAD.062024.VV	1.964e-18	85	0	0	0	1246	Caudoviricetes	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
Arthrobacter_phage_Constance_16	10500	10712	213	1	0.606	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
Arthrobacter_phage_Constance_17	10698	10886	189	-1	0.683	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
Arthrobacter_phage_Constance_18	10931	14827	3897	1	0.641	11	GGAGG	GENOMAD.005798.VV	1.2e-41	171	0	0	0	1246	Caudoviricetes	NA	NA	PHROG4704	tail length tape measure protein	4704	tail
Arthrobacter_phage_Constance_19	14827	15654	828	1	0.669	11	GGAGG	GENOMAD.079823.VV	5.613e-143	450	0	0	0	1246	Caudoviricetes	NA	NA	PHROG14138	minor tail protein	14138	tail
Arthrobacter_phage_Constance_20	15667	16968	1302	1	0.656	11	AGGAG	GENOMAD.040060.VV	6.132e-212	658	0	0	1	1246	Caudoviricetes	NA	NA	PF06605;COG4379	Prophage endopeptidase tail	1887	tail
Arthrobacter_phage_Constance_21	16977	17933	957	1	0.680	11	AGGAG	GENOMAD.097276.VV	2.91e-29	122	0	0	0	1246	Caudoviricetes	NA	NA	PHROG16436	hypothetical protein	16436	unknown function
Arthrobacter_phage_Constance_22	17933	18592	660	1	0.661	11	GGA/GAG/AGG	GENOMAD.107133.VV	4.215e-84	277	0	0	0	1246	Caudoviricetes	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
Arthrobacter_phage_Constance_23	18607	18885	279	1	0.624	11	AGGA	GENOMAD.177602.VV	5.669e-45	157	0	0	0	1246	Caudoviricetes	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
Arthrobacter_phage_Constance_24	18878	19768	891	1	0.654	11	GGAGG	GENOMAD.121557.VV	7.806e-17	84	0	0	0	1246	Caudoviricetes	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
